dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,label_prop_train,label_prop_test,label_prop_train_std,label_prop_test_std
flowers102,kalofolias,False,40,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,False,40,BothSides,False,True,True,100.0,35.50326797385622,0.0,1.60287593781237
flowers102,kalofolias,False,40,BothSides,False,True,False,100.0,35.78976034858388,0.0,1.6097236318160288
flowers102,kalofolias,False,30,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,False,30,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,False,30,BothSides,False,True,True,100.0,36.1437908496732,0.0,1.569459353358414
flowers102,kalofolias,False,30,BothSides,False,True,False,100.0,36.39869281045752,0.0,1.6226929949483937
flowers102,kalofolias,False,20,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,False,20,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,False,20,BothSides,False,True,True,100.0,36.811546840958606,0.0,1.6750295689179053
flowers102,kalofolias,False,20,BothSides,False,True,False,100.0,37.014161220043576,0.0,1.660589186975486
flowers102,kalofolias,False,200,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,False,200,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,False,200,BothSides,False,True,True,100.0,30.53050108932462,0.0,1.476254314856399
flowers102,kalofolias,False,200,BothSides,False,True,False,100.0,30.595860566448806,0.0,1.5205079287463377
flowers102,kalofolias,False,10,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,False,10,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,False,10,BothSides,False,True,True,100.0,36.58605664488018,0.0,1.622912361382948
flowers102,kalofolias,False,10,BothSides,False,True,False,100.0,36.73856209150327,0.0,1.6433009776373122
flowers102,kalofolias,False,100,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,False,100,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,False,100,BothSides,False,True,True,100.0,32.69934640522876,0.0,1.535861182067902
flowers102,kalofolias,False,100,BothSides,False,True,False,100.0,32.911764705882355,0.0,1.598871400434513
flowers102,kalofolias,False,1000,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,False,1000,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,False,1000,BothSides,False,True,True,100.0,17.52505446623094,0.0,2.2986184634436304
flowers102,kalofolias,False,1000,BothSides,False,True,False,100.0,18.727668845315907,0.0,2.3004967927023605
flowers102,RBF,True,5,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,5,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,5,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,5,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,5,BothSides,True,False,True,100.0,21.22984749455338,0.0,1.5529578494052017
flowers102,RBF,True,5,BothSides,True,False,False,100.0,21.32244008714597,0.0,1.5313145714901915
flowers102,RBF,True,5,BothSides,False,False,True,100.0,34.691721132897605,0.0,1.7011927152363426
flowers102,RBF,True,5,BothSides,False,False,False,100.0,34.794117647058826,0.0,1.6972568992784702
flowers102,RBF,True,50,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,50,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,50,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,50,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,50,BothSides,True,False,True,100.0,27.160130718954246,0.0,1.5390005816697303
flowers102,RBF,True,50,BothSides,True,False,False,100.0,27.176470588235297,0.0,1.5048837264126724
flowers102,RBF,True,50,BothSides,False,False,True,100.0,22.619825708061004,0.0,1.4607818767556306
flowers102,RBF,True,50,BothSides,False,False,False,100.0,22.711328976034856,0.0,1.4745363768934958
flowers102,RBF,True,500,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,500,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,500,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,500,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,500,BothSides,True,False,True,100.0,14.206971677559915,0.0,1.4264896169748535
flowers102,RBF,True,500,BothSides,True,False,False,100.0,14.22549019607843,0.0,1.4236514262308173
flowers102,RBF,True,500,BothSides,False,False,True,100.0,1.5533769063180825,0.0,0.4955217837133205
flowers102,RBF,True,500,BothSides,False,False,False,100.0,1.5555555555555554,0.0,0.5001601691427188
flowers102,RBF,True,40,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
