dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,acc_train,acc_train_std,acc_test,acc_test_std
flowers102,kalofolias,True,200,None,False,True,True,98.37254901960785,1.1863960397965387,22.565359477124183,1.5216562668948697
flowers102,kalofolias,True,200,None,False,True,False,90.71568627450985,2.725613623950855,18.858387799564273,1.3830802538721638
flowers102,kalofolias,True,200,BothSides,False,True,True,99.58823529411764,0.5911691541835798,24.594771241830067,1.3960008437365432
flowers102,kalofolias,True,200,BothSides,False,True,False,95.91176470588236,1.3588603113036666,20.72875816993464,1.3988637493193947
flowers102,kalofolias,True,10,None,False,True,True,100.0,0.0,37.5,1.6690056493911445
flowers102,kalofolias,True,10,None,False,True,False,99.78431372549021,0.4718121339418006,35.64270152505447,1.7753652090726577
flowers102,kalofolias,True,10,BothSides,False,True,True,100.0,0.0,36.63180827886711,1.7097247466005934
flowers102,kalofolias,True,10,BothSides,False,True,False,99.98039215686275,0.13725490196078285,35.41176470588236,1.7836126426119647
flowers102,kalofolias,True,100,None,False,True,True,100.0,0.0,28.875816993464056,1.6142364815191823
flowers102,kalofolias,True,100,None,False,True,False,98.7549019607843,1.01748459166291,25.044662309368196,1.4999564896710342
flowers102,kalofolias,True,100,BothSides,False,True,True,99.92156862745098,0.3304372460069157,29.086056644880177,1.5530801019359
flowers102,kalofolias,True,100,BothSides,False,True,False,97.55882352941178,1.289467283285465,25.88126361655774,1.5523617304463067
flowers102,kalofolias,True,1000,None,False,True,True,1.0098039215686274,0.21724039025647382,0.9989106753812638,0.147002329179183
flowers102,kalofolias,True,1000,None,False,True,False,0.9803921568627452,1.1102230246251565e-16,0.973856209150327,0.05067408866933772
flowers102,kalofolias,True,1000,BothSides,False,True,True,10.568627450980388,2.669044499258762,4.528322440087146,0.8762470627053638
flowers102,kalofolias,True,1000,BothSides,False,True,False,5.147058823529411,1.2885724929504818,2.996732026143791,0.694694516894543
flowers102,kalofolias,False,5,None,False,True,True,100.0,0.0,37.18736383442266,1.5391335799997634
flowers102,kalofolias,False,5,None,False,True,False,98.97058823529413,0.9236001804616075,34.472766884531595,1.5987797402958759
flowers102,kalofolias,False,5,BothSides,False,True,True,100.0,0.0,36.12200435729848,1.6572777250933741
flowers102,kalofolias,False,5,BothSides,False,True,False,99.92156862745098,0.26597372482843906,33.64052287581699,1.594242861621381
flowers102,kalofolias,False,50,None,False,True,True,100.0,0.0,33.38779956427016,1.7018235116049194
flowers102,kalofolias,False,50,None,False,True,False,99.80392156862744,0.39215686274509387,30.388888888888893,1.6871844977280324
flowers102,kalofolias,False,50,BothSides,False,True,True,99.99019607843137,0.09754778795162837,32.956427015250554,1.7292094222794776
flowers102,kalofolias,False,50,BothSides,False,True,False,98.66666666666669,1.023747253506403,30.59259259259259,1.7282690372270353
flowers102,kalofolias,False,500,None,False,True,True,12.372549019607845,2.8339269342225655,5.37037037037037,0.9157456502364713
flowers102,kalofolias,False,500,None,False,True,False,8.098039215686276,1.9735856629720465,4.449891067538127,0.9764353704789976
flowers102,kalofolias,False,500,BothSides,False,True,True,97.57843137254902,1.274170392211766,17.92265795206972,1.3535229892807419
