dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,ami,ari,nmi
flowers102,RBF,True,5,None,False,False,True,40.92459580919643,26.76043889529702,70.9003970278653
flowers102,RBF,True,5,None,False,False,False,40.92459580919643,26.76043889529702,70.9003970278653
flowers102,RBF,True,5,BothSides,True,False,True,26.519402404471432,4.484272683973189,57.96084098914629
flowers102,RBF,True,5,BothSides,True,False,False,26.81310352332853,4.94064114639738,58.51768503696266
flowers102,RBF,True,5,BothSides,False,False,True,41.32105091289407,27.451010695937217,71.19154201245588
flowers102,RBF,True,5,BothSides,False,False,False,41.64431332714694,27.86988339806833,71.38072926212364
flowers102,RBF,True,50,None,True,False,True,36.66515176253208,18.993050411428055,66.36026697909145
flowers102,RBF,True,50,None,True,False,False,36.66515176253208,18.993050411428055,66.36026697909145
flowers102,RBF,True,50,None,False,False,True,35.117130041305856,21.458769631488238,66.74977484107453
flowers102,RBF,True,50,None,False,False,False,35.117130041305856,21.458769631488238,66.74977484107453
flowers102,RBF,True,50,BothSides,True,False,True,38.67025728627641,19.590980683488617,67.10274302623979
flowers102,RBF,True,50,BothSides,True,False,False,38.01835111984447,19.077363776472836,66.63918395781711
flowers102,RBF,True,50,BothSides,False,False,True,35.640062044036746,21.275046182314895,67.11477703101806
flowers102,RBF,True,50,BothSides,False,False,False,35.42746612456242,21.31123759216475,66.91783946942701
flowers102,RBF,True,500,None,True,False,True,10.211797245869956,0.9333490873817284,44.913248282999405
flowers102,RBF,True,500,None,True,False,False,10.211797245869956,0.9333490873817284,44.913248282999405
flowers102,RBF,True,500,None,False,False,True,9.742382825827775,3.970621170481868,53.74753490388304
flowers102,RBF,True,500,None,False,False,False,9.742382825827775,3.970621170481868,53.74753490388304
flowers102,RBF,True,500,BothSides,True,False,True,22.480664304745304,8.577944667908527,57.23850073216491
flowers102,RBF,True,500,BothSides,True,False,False,22.26000466859883,8.620715887903298,57.311405799057326
flowers102,RBF,True,500,BothSides,False,False,True,10.156519435092596,4.451404082266514,54.13030668010529
flowers102,RBF,True,500,BothSides,False,False,False,9.615860192165227,4.359021264835535,53.98472735165295
flowers102,RBF,True,40,None,True,False,True,37.07786037004445,19.59478192457174,66.71379564849529
flowers102,RBF,True,40,None,True,False,False,37.07786037004445,19.59478192457174,66.71379564849529
flowers102,RBF,True,40,None,False,False,True,37.40542132406587,23.797891280347763,68.20152562787955
flowers102,RBF,True,40,None,False,False,False,37.40542132406587,23.797891280347763,68.20152562787955
flowers102,RBF,True,40,BothSides,True,False,True,37.93170857493548,19.37463125704025,66.76895137506736
flowers102,RBF,True,40,BothSides,True,False,False,37.425002715121416,18.66288502555151,66.34459494942253
flowers102,RBF,True,40,BothSides,False,False,True,38.07538013316927,24.128488056902643,68.34373982910516
flowers102,RBF,True,40,BothSides,False,False,False,37.29296716027606,23.977105063760536,67.94908769862651
flowers102,RBF,True,30,None,True,False,True,35.31180235020896,17.288136342925938,65.31442751340843
flowers102,RBF,True,30,None,True,False,False,35.31180235020896,17.288136342925938,65.31442751340843
flowers102,RBF,True,30,None,False,False,True,39.082370760550624,26.115879005088072,69.24484262329649
flowers102,RBF,True,30,None,False,False,False,39.082370760550624,26.115879005088072,69.24484262329649
flowers102,RBF,True,30,BothSides,True,False,True,36.66878447580786,17.83768200584578,66.00038693525802
flowers102,RBF,True,30,BothSides,True,False,False,36.39478231816866,17.61743411368415,65.64153771892384
flowers102,RBF,True,30,BothSides,False,False,True,36.9438418562904,23.55832963727101,67.9384959854366
flowers102,RBF,True,30,BothSides,False,False,False,39.7133809018216,26.141727335381777,69.35419440482613
flowers102,RBF,True,20,None,True,False,True,37.21568161470524,17.361042589657647,66.47757590931455
flowers102,RBF,True,20,None,True,False,False,37.21568161470524,17.361042589657647,66.47757590931455
flowers102,RBF,True,20,None,False,False,True,39.67109155599396,27.068573579178413,69.94948024442968
flowers102,RBF,True,20,None,False,False,False,39.67109155599396,27.068573579178413,69.94948024442968
flowers102,RBF,True,20,BothSides,True,False,True,36.86949736399027,17.008450721735763,65.77294080641356
flowers102,RBF,True,20,BothSides,True,False,False,37.20759743234082,16.550605822106114,65.82566460288523
flowers102,RBF,True,20,BothSides,False,False,True,39.73429992203117,27.375983327047877,70.11318134653973
flowers102,RBF,True,20,BothSides,False,False,False,39.336408274786464,26.663400059569902,69.77245742652443
flowers102,RBF,True,200,None,True,False,True,32.43897783478713,12.18573046917822,62.90584960845308
flowers102,RBF,True,200,None,True,False,False,32.43897783478713,12.18573046917822,62.90584960845308
flowers102,RBF,True,200,None,False,False,True,20.03171059967606,10.614214327110952,59.22130325010839
flowers102,RBF,True,200,None,False,False,False,20.03171059967606,10.614214327110952,59.22130325010839
flowers102,RBF,True,200,BothSides,True,False,True,33.38433387461205,13.29349115718674,63.328407340517956
flowers102,RBF,True,200,BothSides,True,False,False,32.089200066632884,12.864939351111659,62.59332814108124
flowers102,RBF,True,200,BothSides,False,False,True,19.0805475651909,10.486277969111539,59.13548140876619
flowers102,RBF,True,200,BothSides,False,False,False,18.39716672938613,10.053717392813075,59.05855669607472
flowers102,RBF,True,10,None,True,False,True,36.42427163916332,12.896046565458757,65.57735433510183
flowers102,RBF,True,10,None,True,False,False,36.42427163916332,12.896046565458757,65.57735433510183
flowers102,RBF,True,10,None,False,False,True,42.2413729435437,28.9510708101444,71.39660369270523
flowers102,RBF,True,10,None,False,False,False,42.2413729435437,28.9510708101444,71.39660369270523
flowers102,RBF,True,10,BothSides,True,False,True,34.69353218773767,13.132064824042738,64.53832009840849
flowers102,RBF,True,10,BothSides,True,False,False,35.61809671360604,13.875420676174791,65.3405112149085
flowers102,RBF,True,10,BothSides,False,False,True,41.73072448667907,28.8072798188152,71.18798007199523
flowers102,RBF,True,10,BothSides,False,False,False,41.78637097130634,28.997023503966524,71.0921102556191
flowers102,RBF,True,100,None,True,False,True,32.99565949045281,10.251986732023285,62.673357562672216
flowers102,RBF,True,100,None,True,False,False,32.99565949045281,10.251986732023285,62.673357562672216
flowers102,RBF,True,100,None,False,False,True,27.168142391715122,15.383630828896921,62.22536058992573
flowers102,RBF,True,100,None,False,False,False,27.168142391715122,15.383630828896921,62.22536058992573
flowers102,RBF,True,100,BothSides,True,False,True,34.19176969070359,14.657230401812926,63.97518907154552
flowers102,RBF,True,100,BothSides,True,False,False,34.42302203415193,14.611947458240572,64.0313078909695
flowers102,RBF,True,100,BothSides,False,False,True,28.856011137689386,16.759785444510655,63.051349822381155
flowers102,RBF,True,100,BothSides,False,False,False,27.14170722713929,15.030051471962313,62.84348770415804
flowers102,RBF,True,1000,None,True,False,True,8.763496480507925,3.250652174374244,51.36940346162393
flowers102,RBF,True,1000,None,True,False,False,8.763496480507925,3.250652174374244,51.36940346162393
flowers102,RBF,True,1000,None,False,False,True,28.23803758873665,13.631757889562302,60.13013949551477
flowers102,RBF,True,1000,None,False,False,False,28.23803758873665,13.631757889562302,60.13013949551477
flowers102,RBF,True,1000,BothSides,True,False,True,9.361482542430817,3.305506566141093,51.494026505075155
flowers102,RBF,True,1000,BothSides,True,False,False,9.618467218123767,3.493474083367068,51.95738567387483
flowers102,RBF,True,1000,BothSides,False,False,True,29.05167850852678,14.607446232955503,60.890714991293734
flowers102,RBF,True,1000,BothSides,False,False,False,29.59216314053272,15.06056662133399,61.1053060569943
flowers102,RBF,True,0,None,False,False,True,38.127004407963526,23.760002648371525,68.31743622503028
flowers102,RBF,True,0,None,False,False,False,38.127004407963526,23.760002648371525,68.31743622503028
flowers102,RBF,True,0,BothSides,False,False,True,36.69703366983399,23.72457710461209,68.33474443990976
flowers102,RBF,True,0,BothSides,False,False,False,35.95025657824764,22.616657652827048,67.66123812829755
flowers102,RBF,False,5,None,True,False,True,29.145603058967083,7.068958303019622,60.64807475286954
flowers102,RBF,False,5,None,True,False,False,28.46804456433933,6.4955466639562145,60.31247154060141
flowers102,RBF,False,5,None,False,False,True,40.283504767473424,26.861093698940763,70.65756256030278
flowers102,RBF,False,5,None,False,False,False,40.283504767473424,26.861093698940763,70.65756256030278
flowers102,RBF,False,5,BothSides,True,False,True,28.269767342067226,6.582678746929578,60.02112035038169
flowers102,RBF,False,5,BothSides,True,False,False,29.06537036114376,7.568207476414381,60.308399583345384
flowers102,RBF,False,5,BothSides,False,False,True,41.46650618140146,27.812783642786197,71.26640908294014
flowers102,RBF,False,5,BothSides,False,False,False,41.58853303607074,27.63088195013999,71.2988671468444
flowers102,RBF,False,50,None,True,False,True,36.45804136538155,20.32282733390908,66.89427822278495
flowers102,RBF,False,50,None,True,False,False,36.45804136538155,20.32282733390908,66.89427822278495
flowers102,RBF,False,50,None,False,False,True,34.452100407347096,20.991579672528605,66.0390580707855
flowers102,RBF,False,50,None,False,False,False,34.452100407347096,20.991579672528605,66.0390580707855
flowers102,RBF,False,50,BothSides,True,False,True,37.37726843992841,20.22976090767149,66.82715507497001
flowers102,RBF,False,50,BothSides,True,False,False,38.36726525675837,20.592104503596378,67.2851347619191
flowers102,RBF,False,50,BothSides,False,False,True,33.81267226745465,20.055406269489303,66.24869086118026
flowers102,RBF,False,50,BothSides,False,False,False,33.721431067370155,20.45526847414947,66.0600508756501
flowers102,RBF,False,500,None,True,False,True,11.305876754896406,3.8600053199422613,51.075022609792086
flowers102,RBF,False,500,None,True,False,False,11.305876754896406,3.8600053199422613,51.075022609792086
flowers102,RBF,False,500,None,False,False,True,9.410609708386966,4.21947764234098,54.263163341690834
flowers102,RBF,False,500,None,False,False,False,9.410609708386966,4.21947764234098,54.263163341690834
flowers102,RBF,False,500,BothSides,True,False,True,17.931893212171513,7.600113821872109,56.14546341950142
flowers102,RBF,False,500,BothSides,True,False,False,20.331561035362924,9.823892157449816,57.98728261866516
flowers102,RBF,False,500,BothSides,False,False,True,9.440865455383642,4.834389068282221,54.0625199975067
flowers102,RBF,False,500,BothSides,False,False,False,10.14060662143837,5.12308731534657,54.354599125390855
flowers102,RBF,False,40,None,True,False,True,37.45139748738422,21.718596988318833,67.50207298366027
flowers102,RBF,False,40,None,True,False,False,37.45139748738422,21.718596988318833,67.50207298366027
flowers102,RBF,False,40,None,False,False,True,35.826698069425845,22.135462971164,67.22675668653963
flowers102,RBF,False,40,None,False,False,False,35.826698069425845,22.135462971164,67.22675668653963
flowers102,RBF,False,40,BothSides,True,False,True,38.073975828777954,21.786371616657355,67.61796101513451
flowers102,RBF,False,40,BothSides,True,False,False,37.102496253058796,20.48248869530639,66.76407897636753
flowers102,RBF,False,40,BothSides,False,False,True,34.73899119854419,21.684569032049904,66.92799168984234
flowers102,RBF,False,40,BothSides,False,False,False,33.90222102722235,20.307063209473046,66.29786625399343
flowers102,RBF,False,30,None,True,False,True,37.67984380588441,22.402871001446083,67.79232859031573
flowers102,RBF,False,30,None,True,False,False,37.67984380588441,22.402871001446083,67.79232859031573
flowers102,RBF,False,30,None,False,False,True,37.18923077586748,23.961227126952796,68.07416169776907
flowers102,RBF,False,30,None,False,False,False,37.18923077586748,23.961227126952796,68.07416169776907
flowers102,RBF,False,30,BothSides,True,False,True,38.31569154643194,21.476900198630887,67.78371938117614
flowers102,RBF,False,30,BothSides,True,False,False,37.730772423310015,20.54886394350953,67.2125870546903
flowers102,RBF,False,30,BothSides,False,False,True,36.652769416690376,24.02400645562367,68.0167784701892
flowers102,RBF,False,30,BothSides,False,False,False,36.6652185091505,23.679342090311835,68.06698675216327
flowers102,RBF,False,20,None,True,False,True,36.160343496150844,20.312722717215667,66.53287736234445
flowers102,RBF,False,20,None,True,False,False,36.160343496150844,20.312722717215667,66.53287736234445
flowers102,RBF,False,20,None,False,False,True,36.806862934771004,23.57117700216958,68.44601227531798
flowers102,RBF,False,20,None,False,False,False,36.806862934771004,23.57117700216958,68.44601227531798
flowers102,RBF,False,20,BothSides,True,False,True,36.92478935860643,19.09930720897633,66.48115942006437
flowers102,RBF,False,20,BothSides,True,False,False,36.06217260577523,18.499926925711183,65.93598572826464
flowers102,RBF,False,20,BothSides,False,False,True,37.97386819944483,25.125903396098572,69.17214833692987
flowers102,RBF,False,20,BothSides,False,False,False,39.08809554592458,26.16953006819115,69.60212038444783
flowers102,RBF,False,200,None,True,False,True,28.22551222644915,8.013352851160562,59.28946241322299
flowers102,RBF,False,200,None,True,False,False,28.22551222644915,8.013352851160562,59.28946241322299
flowers102,RBF,False,200,None,False,False,True,17.713639623392023,9.156398311257645,57.707179898468716
flowers102,RBF,False,200,None,False,False,False,17.713639623392023,9.156398311257645,57.707179898468716
flowers102,RBF,False,200,BothSides,True,False,True,30.02707783584216,13.020812046216893,61.76049786084155
flowers102,RBF,False,200,BothSides,True,False,False,30.326498386503868,14.435499767756074,62.54476880900401
flowers102,RBF,False,200,BothSides,False,False,True,16.92729743847215,8.52303164984383,57.62764601268313
flowers102,RBF,False,200,BothSides,False,False,False,17.02635046297574,8.780871037654661,57.79725441409763
flowers102,RBF,False,10,None,True,False,True,35.941593524850305,14.627496102705399,65.56565234612948
flowers102,RBF,False,10,None,True,False,False,35.941593524850305,14.627496102705399,65.56565234612948
flowers102,RBF,False,10,None,False,False,True,39.10321221090603,26.66516053480306,69.95937555561002
flowers102,RBF,False,10,None,False,False,False,39.10321221090603,26.66516053480306,69.95937555561002
flowers102,RBF,False,10,BothSides,True,False,True,36.09974629167427,15.75250283876522,65.53692093278333
flowers102,RBF,False,10,BothSides,True,False,False,35.42326170677024,14.83475912044894,65.33357431983036
flowers102,RBF,False,10,BothSides,False,False,True,39.486838193056656,26.712063782209473,70.08128684194457
flowers102,RBF,False,10,BothSides,False,False,False,39.748064598301,27.756910944516733,70.2728388429756
flowers102,RBF,False,100,None,True,False,True,33.17882314952369,14.861600177699948,64.1259528020669
flowers102,RBF,False,100,None,True,False,False,33.17882314952369,14.861600177699948,64.1259528020669
flowers102,RBF,False,100,None,False,False,True,27.19222595200582,15.551226790407654,62.38566557836185
flowers102,RBF,False,100,None,False,False,False,27.19222595200582,15.551226790407654,62.38566557836185
flowers102,RBF,False,100,BothSides,True,False,True,35.44919902627185,16.69597952680104,65.37214622587307
flowers102,RBF,False,100,BothSides,True,False,False,34.79859803877888,16.621918293753517,64.73509926511615
flowers102,RBF,False,100,BothSides,False,False,True,27.55115069771416,14.915449547648137,62.36752821617409
flowers102,RBF,False,100,BothSides,False,False,False,27.51817866815295,14.839667460993548,62.949438175120044
flowers102,RBF,False,1000,None,True,False,True,8.458339297850959,3.353261695224366,53.29224884519144
flowers102,RBF,False,1000,None,True,False,False,8.458339297850959,3.353261695224366,53.29224884519144
flowers102,RBF,False,1000,None,False,False,True,25.651017325294795,10.351702004498827,56.04881443212373
flowers102,RBF,False,1000,None,False,False,False,25.651017325294795,10.351702004498827,56.04881443212373
flowers102,RBF,False,1000,BothSides,True,False,True,7.973485956249925,3.2975787782057093,53.075758201911924
flowers102,RBF,False,1000,BothSides,True,False,False,8.531517828935998,3.456826395294235,53.17864721655601
flowers102,RBF,False,1000,BothSides,False,False,True,25.491750729428425,10.14422407076782,55.880399381952564
flowers102,RBF,False,1000,BothSides,False,False,False,25.024730734625884,9.977985019336026,55.47759775620831
flowers102,RBF,False,0,None,False,False,True,35.19611577102281,22.116469435441104,67.01108616123919
flowers102,RBF,False,0,None,False,False,False,35.19611577102281,22.116469435441104,67.01108616123919
flowers102,RBF,False,0,BothSides,False,False,True,39.18535665687533,26.247088731345432,68.86841369764363
flowers102,RBF,False,0,BothSides,False,False,False,40.63363723820175,27.34960162677748,69.84434062453907
flowers102,L2Distance,True,5,None,True,False,True,26.97327078354262,4.873690689947996,57.985148736318315
flowers102,L2Distance,True,5,None,True,False,False,26.420243970754655,4.602681817065284,57.1499510498935
