dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,ami,ari,nmi
flowers102,RBF,True,20,None,True,False,False,25.29406176346351,1.9386084254106544,54.45653485290004
flowers102,RBF,True,20,None,False,False,True,34.30673290559823,13.063392589578157,65.70531713958157
flowers102,RBF,True,20,None,False,False,False,34.30673290559823,13.063392589578157,65.70531713958157
flowers102,RBF,True,20,BothSides,True,False,True,31.835144534142064,3.8012521293402135,59.816962719844405
flowers102,RBF,True,20,BothSides,True,False,False,33.73953958438945,6.0779715534533505,61.120142630436334
flowers102,RBF,True,20,BothSides,False,False,True,36.05892913322818,16.59271617873701,67.2942279535244
flowers102,RBF,True,20,BothSides,False,False,False,35.796743436946834,18.14164480046468,67.41865654544816
flowers102,RBF,True,200,None,True,False,True,6.375392325087996,0.22702745414604603,29.825199837897564
flowers102,RBF,True,200,None,True,False,False,6.375392325087996,0.22702745414604603,29.825199837897564
flowers102,RBF,True,200,None,False,False,True,18.186148663258585,3.0224916528254218,47.3628050121027
flowers102,RBF,True,200,None,False,False,False,18.186148663258585,3.0224916528254218,47.3628050121027
flowers102,RBF,True,200,BothSides,True,False,True,28.738575503944602,7.232725309045362,55.0600988476849
flowers102,RBF,True,200,BothSides,True,False,False,28.83592783005558,7.163173593155279,54.65655701240224
flowers102,RBF,True,200,BothSides,False,False,True,17.880468568569643,3.1899876287315583,47.7309382022129
flowers102,RBF,True,200,BothSides,False,False,False,17.327795098901998,3.287587879508341,48.087253714114524
flowers102,RBF,True,10,None,True,False,True,28.994174148832474,2.863718099705606,58.06607451830801
flowers102,RBF,True,10,None,True,False,False,28.994174148832474,2.863718099705606,58.06607451830801
flowers102,RBF,True,10,None,False,False,True,38.77680358967439,18.916952092964944,68.87364765198421
flowers102,RBF,True,10,None,False,False,False,38.77680358967439,18.916952092964944,68.87364765198421
flowers102,RBF,True,10,BothSides,True,False,True,33.75599101197409,4.742532318292262,61.40540002628504
flowers102,RBF,True,10,BothSides,True,False,False,33.14444433314047,4.263278189132266,61.11791145119295
flowers102,RBF,True,10,BothSides,False,False,True,39.90245715769987,21.966731760358826,69.67120336052889
flowers102,RBF,True,10,BothSides,False,False,False,39.90432387897416,23.067747391131967,69.79906778321075
flowers102,RBF,True,100,None,True,False,True,9.606916408568281,0.360792717650558,35.267657668972504
flowers102,RBF,True,100,None,True,False,False,9.606916408568281,0.360792717650558,35.267657668972504
flowers102,RBF,True,100,None,False,False,True,26.17084564722823,5.959880248245121,56.544951514954356
flowers102,RBF,True,100,None,False,False,False,26.17084564722823,5.959880248245121,56.544951514954356
flowers102,RBF,True,100,BothSides,True,False,True,31.111972049203985,8.14898734255723,57.92868824734403
flowers102,RBF,True,100,BothSides,True,False,False,28.63305598759026,5.823622282782455,55.846998457867855
flowers102,RBF,True,100,BothSides,False,False,True,27.226119782854504,5.494633654744225,57.30331842677756
flowers102,RBF,True,100,BothSides,False,False,False,26.218024860751743,6.188382069876288,57.75353836996404
flowers102,RBF,True,1000,None,True,False,True,12.608454940856479,1.804716515527164,34.11438972332628
flowers102,RBF,True,1000,None,True,False,False,12.608454940856479,1.804716515527164,34.11438972332628
flowers102,RBF,True,1000,None,False,False,True,28.919293838849885,7.208096775554179,50.22398985423605
flowers102,RBF,True,1000,None,False,False,False,28.919293838849885,7.208096775554179,50.22398985423605
flowers102,RBF,True,1000,BothSides,True,False,True,13.677604622871433,2.01470636284383,35.82792117222295
flowers102,RBF,True,1000,BothSides,True,False,False,12.583242655404042,1.979785315722515,35.37602332692762
flowers102,RBF,True,1000,BothSides,False,False,True,31.44211829801114,9.260615835648785,53.14129837571876
flowers102,RBF,True,1000,BothSides,False,False,False,27.987459574529204,7.523448700478435,50.64302057381541
flowers102,RBF,True,0,None,False,False,True,37.311735151718736,18.825262212945507,66.07544191194224
flowers102,RBF,True,0,None,False,False,False,37.311735151718736,18.825262212945507,66.07544191194224
flowers102,RBF,True,0,BothSides,False,False,True,37.03200708441517,19.812800178571248,66.57045214616721
flowers102,RBF,True,0,BothSides,False,False,False,37.03200708441517,19.812800178571248,66.57045214616721
flowers102,RBF,False,5,None,True,False,True,20.70652859127052,1.136192378892973,50.75078888272767
flowers102,RBF,False,5,None,True,False,False,18.376948498428444,0.9800981854461882,49.35060199994064
flowers102,RBF,False,5,None,False,False,True,38.034579656102416,20.1267741762706,68.61683783094074
flowers102,RBF,False,5,None,False,False,False,38.034579656102416,20.1267741762706,68.61683783094074
flowers102,RBF,False,5,BothSides,True,False,True,22.130897861758378,1.3330213180386254,52.8199057658619
flowers102,RBF,False,5,BothSides,True,False,False,26.361043987929616,1.9925614183673783,56.34489847685495
flowers102,RBF,False,5,BothSides,False,False,True,38.486966867900115,19.333327317839988,68.8347969210453
flowers102,RBF,False,5,BothSides,False,False,False,39.36594445722592,22.591451514034464,69.57677585954339
flowers102,RBF,False,50,None,True,False,True,24.395304322338387,2.5493160173670955,50.1261651343884
flowers102,RBF,False,50,None,True,False,False,24.395304322338387,2.5493160173670955,50.1261651343884
flowers102,RBF,False,50,None,False,False,True,30.029357065579788,11.968132613449258,62.82804017863487
flowers102,RBF,False,50,None,False,False,False,30.029357065579788,11.968132613449258,62.82804017863487
flowers102,RBF,False,50,BothSides,True,False,True,32.63118617548672,8.061255273851517,60.17063582083186
flowers102,RBF,False,50,BothSides,True,False,False,32.16619235895729,9.067741729266437,60.178602930489056
flowers102,RBF,False,50,BothSides,False,False,True,30.682160622406556,9.557639037805115,62.56550081427492
flowers102,RBF,False,50,BothSides,False,False,False,30.746820996990536,11.068252625604638,62.74703518694875
flowers102,RBF,False,500,None,True,False,True,7.567978509186936,0.40192903554136006,28.479316589212907
flowers102,RBF,False,500,None,True,False,False,7.567978509186936,0.40192903554136006,28.479316589212907
flowers102,RBF,False,500,None,False,False,True,7.324856992006386,0.7840615155747388,33.258151295554626
flowers102,RBF,False,500,None,False,False,False,7.324856992006386,0.7840615155747388,33.258151295554626
flowers102,RBF,False,500,BothSides,True,False,True,17.15175385636223,2.328281349694848,41.66334890388302
flowers102,RBF,False,500,BothSides,True,False,False,17.986773758063364,3.351081724340587,42.409777186997864
flowers102,RBF,False,500,BothSides,False,False,True,8.6473475224639,0.85568397155493,31.50574473622466
flowers102,RBF,False,500,BothSides,False,False,False,8.02337593111623,0.7586161370692007,33.50376298224065
flowers102,RBF,False,40,None,True,False,True,25.62540331470914,2.2107679448314586,53.291742311407894
flowers102,RBF,False,40,None,True,False,False,25.62540331470914,2.2107679448314586,53.291742311407894
flowers102,RBF,False,40,None,False,False,True,31.102079526936578,12.244164482451247,63.66262292490465
flowers102,RBF,False,40,None,False,False,False,31.102079526936578,12.244164482451247,63.66262292490465
flowers102,RBF,False,40,BothSides,True,False,True,34.35108602249878,9.19403341629511,61.81692837791376
flowers102,RBF,False,40,BothSides,True,False,False,33.56724484442614,9.774798994547815,61.65537943239091
flowers102,RBF,False,40,BothSides,False,False,True,33.347580381986724,15.768477225672243,64.75202383423309
flowers102,RBF,False,40,BothSides,False,False,False,31.286813305950602,14.172816727514927,64.08979098714283
flowers102,RBF,False,30,None,True,False,True,28.577512186458197,3.801638048505325,56.55844968729351
flowers102,RBF,False,30,None,True,False,False,28.577512186458197,3.801638048505325,56.55844968729351
flowers102,RBF,False,30,None,False,False,True,33.50520503214236,16.537786535423823,65.69685271893584
flowers102,RBF,False,30,None,False,False,False,33.50520503214236,16.537786535423823,65.69685271893584
flowers102,RBF,False,30,BothSides,True,False,True,33.87927630850011,9.70987364115827,62.104051656053684
flowers102,RBF,False,30,BothSides,True,False,False,33.42829233458176,10.909101590895718,62.16663634001036
flowers102,RBF,False,30,BothSides,False,False,True,32.27349358012403,14.239683690072072,65.0812061262499
flowers102,RBF,False,30,BothSides,False,False,False,34.56881865180499,17.76343442117166,66.53039815009252
flowers102,RBF,False,20,None,True,False,True,27.245863593135432,2.829282137944377,56.688161951921714
flowers102,RBF,False,20,None,True,False,False,27.245863593135432,2.829282137944377,56.688161951921714
flowers102,RBF,False,20,None,False,False,True,35.52326682420355,19.662783288365095,67.43733603320466
