dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,acc_train,acc_train_std,acc_test,acc_test_std
flowers102,kalofolias,True,5,None,False,True,True,100.0,0.0,37.65838779956427,1.8792108953415412
flowers102,kalofolias,True,5,None,False,True,False,99.00980392156862,0.9443879034119025,34.75076252723312,1.894992362952451
flowers102,kalofolias,True,5,BothSides,False,True,True,100.0,0.0,36.510784313725495,1.8553741940318775
flowers102,kalofolias,True,5,BothSides,False,True,False,99.90980392156862,0.29661683289961605,34.081154684095864,1.9367284184633589
flowers102,kalofolias,True,50,None,False,True,True,100.0,0.0,33.88137254901961,1.8403333915333477
flowers102,kalofolias,True,50,None,False,True,False,99.8549019607843,0.36432617805180917,30.684531590413947,1.8209003310390317
flowers102,kalofolias,True,50,BothSides,False,True,True,99.99019607843137,0.09754778795162837,33.4,1.8349525469037102
flowers102,kalofolias,True,50,BothSides,False,True,False,98.74803921568626,0.9676977160588514,30.941830065359483,1.8116548662501504
flowers102,kalofolias,True,500,None,False,True,True,12.317647058823528,2.777799615446648,5.460130718954248,1.0591161273004857
flowers102,kalofolias,True,500,None,False,True,False,7.943137254901961,2.0205585045999883,4.336710239651416,0.9659753292784217
flowers102,kalofolias,True,500,BothSides,False,True,True,97.58431372549018,1.376990014278718,18.197167755991288,1.4548398265214348
flowers102,kalofolias,True,500,BothSides,False,True,False,83.53529411764707,3.2938205981846918,13.59847494553377,1.2790565788828208
flowers102,kalofolias,True,40,None,False,True,True,100.0,0.0,35.01056644880175,1.8686708704192856
flowers102,kalofolias,True,40,None,False,True,False,99.90882352941176,0.29469061836718125,32.219172113289765,1.8757398661772164
flowers102,kalofolias,True,40,BothSides,False,True,True,99.99803921568626,0.043800603732722425,34.363616557734204,1.8428212335370258
flowers102,kalofolias,True,40,BothSides,False,True,False,99.20588235294116,0.8295183726044133,32.236383442265804,1.8701870097140436
flowers102,kalofolias,True,30,None,False,True,True,100.0,0.0,36.126143790849675,1.9229308995466154
flowers102,kalofolias,True,30,None,False,True,False,99.95784313725491,0.1988795025052192,33.985838779956424,1.9731030968877963
flowers102,kalofolias,True,30,BothSides,False,True,True,100.0,0.0,35.387908496732024,1.8376350315028576
flowers102,kalofolias,True,30,BothSides,False,True,False,99.56274509803922,0.6361861324163028,33.80185185185185,1.9034662733519683
flowers102,kalofolias,True,20,None,False,True,True,100.0,0.0,37.27995642701525,1.8908777125292062
flowers102,kalofolias,True,20,None,False,True,False,99.95588235294117,0.20323933766301625,35.501742919389976,1.9621973968909827
flowers102,kalofolias,True,20,BothSides,False,True,True,100.0,0.0,36.4136165577342,1.8527431886683086
flowers102,kalofolias,True,20,BothSides,False,True,False,99.82745098039216,0.3982661383484853,35.36056644880175,1.9030158139159294
flowers102,kalofolias,True,200,None,False,True,True,98.42156862745097,1.2834902314251515,22.703050108932462,1.6427600499274513
flowers102,kalofolias,True,200,None,False,True,False,90.78235294117647,2.7342917553374617,19.162962962962965,1.5259604529575443
flowers102,kalofolias,True,200,BothSides,False,True,True,99.54215686274509,0.6113993064111566,24.891830065359482,1.5505568878904978
flowers102,kalofolias,True,200,BothSides,False,True,False,96.16862745098038,1.514868003253689,21.008605664488023,1.4493713518168698
flowers102,kalofolias,True,10,None,False,True,True,100.0,0.0,37.92167755991286,1.8907498722928113
flowers102,kalofolias,True,10,None,False,True,False,99.83529411764705,0.3918822567954283,35.99183006535948,1.9611442873393186
flowers102,kalofolias,True,10,BothSides,False,True,True,100.0,0.0,37.01481481481482,1.8729491056341203
flowers102,kalofolias,True,10,BothSides,False,True,False,99.99019607843137,0.09754778795162837,35.777015250544665,1.914738672744963
flowers102,kalofolias,True,100,None,False,True,True,99.99607843137254,0.06188130916886013,29.0545751633987,1.740620621174269
flowers102,kalofolias,True,100,None,False,True,False,98.87647058823529,0.979746846446509,25.273420479302832,1.6213816620483021
flowers102,kalofolias,True,100,BothSides,False,True,True,99.89117647058823,0.3290950274633656,29.357625272331155,1.7488935975646824
flowers102,kalofolias,True,100,BothSides,False,True,False,97.61372549019607,1.2407458287083364,26.088562091503267,1.6222013272731668
flowers102,kalofolias,True,1000,None,False,True,True,1.011764705882353,0.1780323052990771,0.9965141612200437,0.12972095426448904
flowers102,kalofolias,True,1000,None,False,True,False,0.9892156862745098,0.10244511663489657,0.9871459694989108,0.09269864489175442
flowers102,kalofolias,True,1000,BothSides,False,True,True,10.733333333333333,2.8517947969680146,4.5056644880174295,0.8896585319829071
flowers102,kalofolias,True,1000,BothSides,False,True,False,5.179411764705882,1.4405130525862235,3.0052287581699346,0.7176512917664556
flowers102,kalofolias,False,5,None,False,True,True,100.0,0.0,37.65838779956427,1.8792108953415412
flowers102,kalofolias,False,5,None,False,True,False,99.00980392156862,0.9443879034119025,34.75076252723312,1.894992362952451
flowers102,kalofolias,False,5,BothSides,False,True,True,100.0,0.0,36.510784313725495,1.8553741940318775
flowers102,kalofolias,False,5,BothSides,False,True,False,99.90980392156862,0.29661683289961605,34.081154684095864,1.9367284184633589
flowers102,kalofolias,False,50,None,False,True,True,100.0,0.0,33.88137254901961,1.8403333915333477
flowers102,kalofolias,False,50,None,False,True,False,99.8549019607843,0.36432617805180917,30.684531590413947,1.8209003310390317
flowers102,kalofolias,False,50,BothSides,False,True,True,99.99019607843137,0.09754778795162837,33.4,1.8349525469037102
flowers102,kalofolias,False,50,BothSides,False,True,False,98.74803921568626,0.9676977160588514,30.941830065359483,1.8116548662501504
flowers102,kalofolias,False,500,None,False,True,True,12.317647058823528,2.777799615446648,5.460130718954248,1.0591161273004857
flowers102,kalofolias,False,500,None,False,True,False,7.943137254901961,2.0205585045999883,4.336710239651416,0.9659753292784217
flowers102,kalofolias,False,500,BothSides,False,True,True,97.58431372549018,1.376990014278718,18.197167755991288,1.4548398265214348
flowers102,kalofolias,False,500,BothSides,False,True,False,83.53529411764707,3.2938205981846918,13.59847494553377,1.2790565788828208
flowers102,kalofolias,False,40,None,False,True,True,100.0,0.0,35.01056644880175,1.8686708704192856
flowers102,kalofolias,False,40,None,False,True,False,99.90882352941176,0.29469061836718125,32.219172113289765,1.8757398661772164
